year,state,armed_with,threat_type,flee_status,body_camera
2015,CA,Knife,Threat,Not Fleeing,0
2015,AL,Replica,Point,Foot,1
2015,CA,Missing,Attack,Vehicle,0
2015,KS,Gun,Point,Vehicle,0
2015,PA,Unarmed,Move,Not Fleeing,0
2015,TN,Gun,Point,Not Fleeing,0
2015,AZ,Knife,Threat,Not Fleeing,0
2015,MD,Gun,Shoot,Vehicle,0
2015,TX,Gun,Shoot,Not Fleeing,0
2015,FL,Unarmed,Threat,Not Fleeing,0
2015,MS,Gun,Shoot,Foot,0
2015,OR,Knife,Threat,Not Fleeing,0
2015,AZ,Gun,Point,Not Fleeing,0
2015,ID,Gun,Point,Not Fleeing,0
2015,UT,Replica,Point,Not Fleeing,0
2015,NC,Gun,Point,Not Fleeing,0
2015,MO,Unarmed,Flee,Foot,0
2015,MI,Gun,Point,Not Fleeing,0
2015,MA,Replica,Point,Foot,0
2015,TX,Missing,Threat,Not Fleeing,0
2015,NC,Knife,Threat,Not Fleeing,0
2015,TX,Unarmed,Move,Not Fleeing,0
2015,AL,Gun,Shoot,Not Fleeing,0
2015,AL,Gun,Point,Not Fleeing,0
2015,TX,Gun,Point,Vehicle,0
2015,NM,Gun,Point,Not Fleeing,0
2015,IN,Knife,Attack,Not Fleeing,0
2015,FL,Gun,Point,Not Fleeing,0
2015,LA,Gun,Point,Not Fleeing,0
2015,GA,Knife,Threat,Not Fleeing,0
2015,GA,Gun,Shoot,Foot,0
2015,AL,Gun,Shoot,Not Fleeing,0
2015,PA,Knife,Attack,Vehicle,0
2015,NE,Unarmed,Move,Not Fleeing,0
2015,WI,Knife,Attack,Not Fleeing,0
2015,OK,Missing,Threat,Vehicle,0
2015,NV,Gun,Shoot,Not Fleeing,0
2015,IN,Unarmed,Threat,Not Fleeing,0
2015,FL,Gun,Point,Foot,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,MS,Unarmed,Move,Not Fleeing,0
2015,GA,Gun,Point,Vehicle,0
2015,CA,Unarmed,Threat,Not Fleeing,0
2015,SC,Gun,Shoot,Not Fleeing,0
2015,MI,Unarmed,Attack,Not Fleeing,1
2015,MO,Unarmed,Move,Vehicle,0
2015,AZ,Knife,Threat,Not Fleeing,0
2015,MO,Gun,Shoot,Vehicle,0
2015,NC,Gun,Shoot,Vehicle,0
2015,AZ,Gun,Shoot,Vehicle,0
2015,CA,Unarmed,Attack,Not Fleeing,1
2015,TX,Gun,Shoot,Not Fleeing,0
2015,MS,Gun,Shoot,Not Fleeing,0
2015,IL,Gun,Move,Foot,0
2015,MD,Gun,Point,Not Fleeing,0
2015,AZ,Knife,Attack,Not Fleeing,0
2015,FL,Unarmed,Move,Not Fleeing,0
2015,CA,Gun,Shoot,Not Fleeing,0
2015,WI,Knife,Threat,Not Fleeing,0
2015,CA,Unarmed,Flee,Vehicle,0
2015,NE,Gun,Attack,Not Fleeing,0
2015,WI,Unarmed,Attack,Foot,0
2015,CO,Unarmed,Move,Foot,0
2015,FL,Missing,Threat,Not Fleeing,0
2015,AZ,Gun,Point,Not Fleeing,0
2015,CA,Knife,Threat,Not Fleeing,1
2015,OK,Gun,Point,Not Fleeing,0
2015,DE,Missing,Attack,Vehicle,0
2015,GA,Unarmed,Move,Not Fleeing,0
2015,NC,Gun,Point,Not Fleeing,0
2015,CO,Gun,Point,Not Fleeing,0
2015,FL,Gun,Shoot,Not Fleeing,0
2015,OH,Gun,Shoot,Not Fleeing,1
2015,LA,Gun,Shoot,Not Fleeing,0
2015,GA,Knife,Attack,Not Fleeing,1
2015,CA,Knife,Threat,Vehicle,0
2015,MD,Missing,Threat,Not Fleeing,0
2015,TN,Gun,Shoot,Not Fleeing,0
2015,CA,Gun,Shoot,Not Fleeing,0
2015,AZ,Replica,Point,Not Fleeing,0
2015,AL,Gun,Shoot,Not Fleeing,0
2015,AL,Gun,Point,Not Fleeing,0
2015,CA,Missing,Threat,Not Fleeing,0
2015,DC,Unarmed,Threat,Not Fleeing,0
2015,CA,Gun,Move,Vehicle,0
2015,MO,Gun,Point,Not Fleeing,0
2015,CA,Knife,Attack,Not Fleeing,0
2015,CA,Unarmed,Move,Foot,0
2015,WV,Knife,Threat,Not Fleeing,0
2015,WI,Gun,Point,Vehicle,0
2015,TX,Gun,Shoot,Not Fleeing,0
2015,MS,Knife,Threat,Not Fleeing,0
2015,MN,Gun,Point,Not Fleeing,0
2015,NC,Gun,Shoot,Not Fleeing,0
2015,OR,Gun,Shoot,Not Fleeing,0
2015,NC,Gun,Shoot,Foot,0
2015,CA,Vehicle,Threat,Not Fleeing,0
2015,TX,Gun,Shoot,Not Fleeing,0
2015,CA,Unarmed,Threat,Vehicle,0
2015,AZ,Gun,Point,Not Fleeing,0
2015,FL,Gun,Point,Not Fleeing,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,AL,Knife,Threat,Not Fleeing,1
2015,OH,Unarmed,Attack,Not Fleeing,0
2015,ID,Gun,Point,Not Fleeing,1
2015,FL,Gun,Point,Vehicle,0
2015,WA,Unarmed,Attack,Not Fleeing,0
2015,CA,Gun,Point,Not Fleeing,0
2015,LA,Knife,Attack,Not Fleeing,0
2015,OK,Gun,Shoot,Not Fleeing,0
2015,AZ,Gun,Shoot,Vehicle,0
2015,AZ,Gun,Shoot,Not Fleeing,0
2015,NY,Gun,Shoot,Vehicle,0
2015,IN,Gun,Shoot,Not Fleeing,0
2015,OH,Gun,Point,Not Fleeing,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,OR,Knife,Threat,Foot,0
2015,NY,Unclear Weapon Information,Attack,Vehicle,0
2015,CA,Gun,Shoot,Not Fleeing,0
2015,VA,Gun,Point,Vehicle,0
2015,CA,Gun,Shoot,Not Fleeing,0
2015,WI,Gun,Shoot,Not Fleeing,0
2015,GA,Unclear Weapon Information,Threat,Vehicle,1
2015,SC,Gun,Shoot,Foot,0
2015,CA,Gun,Shoot,Foot,0
2015,AZ,Gun,Move,Not Fleeing,0
2015,KS,Gun,Shoot,Not Fleeing,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,WV,Gun,Point,Vehicle,0
2015,MA,Gun,Shoot,Not Fleeing,0
2015,CA,Gun,Point,Not Fleeing,0
2015,FL,Knife,Threat,Not Fleeing,0
2015,CA,Replica,Point,Vehicle,0
2015,MA,Gun,Shoot,Foot,0
2015,KY,Gun,Point,Not Fleeing,0
2015,OH,Missing,Attack,Vehicle,0
2015,NV,Gun,Shoot,Not Fleeing,0
2015,OR,Gun,Point,Not Fleeing,0
2015,FL,Gun,Shoot,Not Fleeing,0
2015,TX,Replica,Point,Not Fleeing,0
2015,MD,Vehicle,Threat,Vehicle,0
2015,CA,Gun,Shoot,Not Fleeing,0
2015,NJ,Knife,Attack,Not Fleeing,0
2015,IL,Gun,Point,Foot,0
2015,IL,Gun,Point,Not Fleeing,0
2015,OK,Unarmed,Accident,Not Fleeing,0
2015,LA,Gun,Point,Not Fleeing,0
2015,VA,Knife,Threat,Not Fleeing,1
2015,IL,Gun,Point,Foot,0
2015,SC,Unarmed,Flee,Foot,0
2015,CA,Gun,Point,Not Fleeing,1
2015,NM,Gun,Point,Vehicle,0
2015,AZ,Knife,Threat,Not Fleeing,0
2015,CA,Gun,Point,Not Fleeing,0
2015,IN,Gun,Shoot,Not Fleeing,0
2015,LA,Gun,Shoot,Foot,0
2015,ID,Gun,Point,Vehicle,0
2015,OK,Gun,Shoot,Vehicle,0
2015,TX,Gun,Shoot,Vehicle,0
2015,GA,Missing,Attack,Vehicle,0
2015,CA,Gun,Shoot,Foot,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,FL,Knife,Attack,Not Fleeing,0
2015,IN,Gun,Point,Vehicle,0
2015,PA,Gun,Shoot,Not Fleeing,0
2015,SC,Gun,Point,Not Fleeing,0
2015,OK,Missing,Attack,Vehicle,0
2015,CA,Knife,Attack,Not Fleeing,0
2015,KS,Gun,Shoot,Vehicle,0
2015,OK,Gun,Point,Not Fleeing,1
2015,IN,Gun,Point,Foot,1
2015,OK,Knife,Threat,Not Fleeing,0
2015,NC,Gun,Point,Vehicle,0
2015,IL,Gun,Point,Not Fleeing,0
2015,TX,Unclear Weapon Information,Threat,Foot,0
2015,AR,Knife,Attack,Not Fleeing,0
2015,FL,Gun,Threat,Foot,0
2015,SC,Knife,Attack,Not Fleeing,0
2015,TX,Unarmed,Move,Vehicle,0
2015,MO,Replica,Point,Vehicle,1
2015,CO,Gun,Shoot,Not Fleeing,0
2015,CA,Replica,Point,Not Fleeing,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,IL,Gun,Point,Foot,0
2015,CA,Gun,Shoot,Not Fleeing,0
2015,MO,Knife,Threat,Not Fleeing,1
2015,AZ,Gun,Shoot,Not Fleeing,0
2015,FL,Gun,Shoot,Not Fleeing,0
2015,KY,Gun,Point,Not Fleeing,0
2015,NE,Knife,Attack,Not Fleeing,0
2015,TX,Gun,Move,Not Fleeing,0
2015,WA,Unarmed,Move,Foot,0
2015,SC,Knife,Threat,Not Fleeing,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,NJ,Missing,Attack,Not Fleeing,0
2015,VA,Unarmed,Threat,Not Fleeing,0
2015,AZ,Knife,Threat,Not Fleeing,0
2015,NY,Gun,Shoot,Foot,0
2015,TX,Gun,Shoot,Foot,0
2015,CO,Gun,Point,Not Fleeing,0
2015,CA,Replica,Point,Not Fleeing,0
2015,OK,Gun,Shoot,Not Fleeing,0
2015,CA,Unarmed,Move,Not Fleeing,0
2015,CA,Missing,Attack,Vehicle,0
2015,OR,Gun,Shoot,Not Fleeing,0
2015,OK,Gun,Point,Vehicle,0
2015,CO,Gun,Point,Foot,1
2015,TX,Knife,Threat,Not Fleeing,1
2015,NY,Unarmed,Attack,Foot,0
2015,FL,Knife,Threat,Not Fleeing,0
2015,OK,Unarmed,Attack,Not Fleeing,0
2015,CA,Gun,Shoot,Not Fleeing,0
2015,CA,Gun,Attack,Not Fleeing,0
2015,MI,Blunt Object,Threat,Not Fleeing,0
2015,OH,Gun,Shoot,Not Fleeing,0
2015,LA,Gun,Shoot,Not Fleeing,1
2015,IL,Gun,Shoot,Not Fleeing,0
2015,OK,Knife,Threat,Foot,0
2015,AZ,Gun,Point,Not Fleeing,0
2015,CA,Gun,Point,Not Fleeing,0
2015,GA,Gun,Shoot,Not Fleeing,0
2015,VA,Gun,Shoot,Not Fleeing,0
2015,TN,Gun,Point,Not Fleeing,0
2015,CA,Unarmed,Move,Not Fleeing,1
2015,TX,Blunt Object,Threat,Not Fleeing,0
2015,DE,Gun,Point,Not Fleeing,1
2015,UT,Gun,Point,Not Fleeing,1
2015,TX,Gun,Shoot,Not Fleeing,0
2015,TX,Gun,Shoot,Not Fleeing,0
2015,NM,Gun,Point,Not Fleeing,0
2015,KY,Gun,Point,Not Fleeing,0
2015,WA,Replica,Point,Not Fleeing,0
2015,TX,Gun,Shoot,Not Fleeing,0
2015,CA,Unarmed,Attack,Not Fleeing,1
2015,CA,Knife,Attack,Not Fleeing,0
2015,VA,Gun,Shoot,Not Fleeing,0
2015,NC,Gun,Point,Vehicle,0
2015,GA,Knife,Threat,Not Fleeing,0
2015,NY,Knife,Threat,Vehicle,0
2015,CA,Missing,Attack,Vehicle,0
2015,AZ,Knife,Attack,Not Fleeing,0
2015,NY,Gun,Point,Not Fleeing,0
2015,LA,Gun,Point,Not Fleeing,0
2015,MN,Missing,Attack,Vehicle,0
2015,WA,Gun,Point,Not Fleeing,0
2015,MD,Missing,Threat,Vehicle,0
2015,TX,Missing,Attack,Vehicle,0
2015,FL,Knife,Threat,Not Fleeing,0
2015,FL,Gun,Move,Foot,0
2015,HI,Gun,Point,Not Fleeing,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,MI,Gun,Point,Vehicle,0
2015,FL,Gun,Shoot,Not Fleeing,0
2015,IL,Gun,Shoot,Not Fleeing,0
2015,CA,Replica,Point,Not Fleeing,0
2015,IL,Gun,Shoot,Foot,0
2015,CA,Gun,Shoot,Foot,1
2015,FL,Gun,Shoot,Not Fleeing,0
2015,NM,Knife,Threat,Not Fleeing,0
2015,VA,Unarmed,Attack,Not Fleeing,0
2015,AR,Gun,Shoot,Not Fleeing,0
2015,CO,Gun,Attack,Vehicle,0
2015,PA,Gun,Shoot,Not Fleeing,0
2015,OH,Knife,Threat,Not Fleeing,0
2015,KY,Gun,Shoot,Not Fleeing,0
2015,WY,Knife,Threat,Vehicle,0
2015,NE,Gun,Shoot,Not Fleeing,0
2015,TX,Gun,Unclear Threat,Not Fleeing,0
2015,FL,Knife,Attack,Not Fleeing,0
2015,SC,Knife,Attack,Not Fleeing,0
2015,NJ,Knife,Threat,Not Fleeing,0
2015,SC,Gun,Shoot,Not Fleeing,0
2015,PA,Replica,Point,Not Fleeing,0
2015,MO,Gun,Point,Not Fleeing,0
2015,AZ,Gun,Shoot,Vehicle,0
2015,MI,Gun,Point,Not Fleeing,0
2015,TX,Gun,Point,Not Fleeing,0
2015,AL,Knife,Attack,Not Fleeing,0
2015,NY,Gun,Shoot,Not Fleeing,0
2015,LA,Unclear Weapon Information,Attack,Not Fleeing,0
2015,WA,Gun,Point,Not Fleeing,0
2015,NJ,Knife,Attack,Not Fleeing,0
2015,OK,Replica,Point,Not Fleeing,0
2015,GA,Knife,Attack,Not Fleeing,0
2015,CA,Unarmed,Move,Not Fleeing,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,SC,Gun,Point,Not Fleeing,0
2015,CO,Gun,Shoot,Not Fleeing,0
2015,GA,Gun,Point,Not Fleeing,0
2015,MI,Blunt Object,Attack,Not Fleeing,0
2015,NJ,Knife,Threat,Not Fleeing,0
2015,OK,Gun,Attack,Not Fleeing,0
2015,OR,Gun,Point,Not Fleeing,0
2015,AZ,Unarmed,Attack,Foot,0
2015,TN,Replica,Point,Not Fleeing,0
2015,OR,Gun,Shoot,Not Fleeing,0
2015,TX,Replica,Point,Not Fleeing,1
2015,NY,Gun,Attack,Vehicle,0
2015,MA,Knife,Threat,Not Fleeing,0
2015,TX,Knife,Attack,Not Fleeing,0
2015,TX,Gun,Point,Vehicle,0
2015,TX,Knife,Threat,Vehicle,0
2015,NJ,Gun,Point,Not Fleeing,0
2015,CA,Gun,Shoot,Vehicle,0
2015,NM,Unarmed,Attack,Not Fleeing,0
2015,CA,Gun,Point,Not Fleeing,0
2015,WV,Vehicle,Threat,Vehicle,0
2015,CA,Gun,Point,Not Fleeing,1
2015,FL,Gun,Point,Not Fleeing,0
2015,CA,Gun,Shoot,Foot,0
2015,TX,Knife,Threat,Not Fleeing,0
2015,CO,Gun,Shoot,Vehicle,0
2015,FL,Gun,Point,Not Fleeing,0
2015,WA,Gun,Point,Not Fleeing,0
2015,IN,Gun,Point,Not Fleeing,0
2015,CA,Knife,Threat,Not Fleeing,1
2015,AZ,Gun,Point,Not Fleeing,0
2015,OH,Unarmed,Attack,Not Fleeing,0
2015,TX,Gun,Point,Vehicle,0
2015,OH,Gun,Point,Not Fleeing,0
2015,IA,Unarmed,Move,Vehicle,0
2015,NY,Gun,Point,Not Fleeing,0
2015,FL,Gun,Point,Not Fleeing,0
2015,TN,Gun,Point,Not Fleeing,0
2015,FL,Unclear Weapon Information,Threat,Not Fleeing,0
2015,TX,Gun,Shoot,Not Fleeing,0
2015,NJ,Knife,Threat,Not Fleeing,0
2015,IN,Replica,Point,Not Fleeing,0
2015,IN,Gun,Point,Not Fleeing,0
2015,KY,Blunt Object,Threat,Not Fleeing,0
2015,TX,Multiple Weapons,Shoot,Not Fleeing,0
2015,CA,Missing,Attack,Vehicle,0
2015,FL,Gun,Shoot,Not Fleeing,0
2015,CA,Unarmed,Move,Foot,0
2015,CA,Gun,Point,Not Fleeing,0
2015,ND,Gun,Point,Not Fleeing,0
2015,AL,Gun,Shoot,Vehicle,0
2015,NM,Gun,Shoot,Not Fleeing,0
2015,NY,Knife,Attack,Foot,0
2015,MA,Knife,Threat,Foot,0
2015,OH,Gun,Shoot,Not Fleeing,0
2015,CO,Gun,Shoot,Not Fleeing,0
2015,IL,Gun,Point,Foot,0
2015,CA,Unarmed,Threat,Not Fleeing,0
2015,TX,Other,Threat,Not Fleeing,0
2015,NC,Gun,Shoot,Foot,0
2015,CA,Gun,Shoot,Not Fleeing,0
2015,GA,Gun,Point,Not Fleeing,0
2015,PA,Gun,Shoot,Vehicle,0
2015,IN,Unarmed,Threat,Vehicle,0
2015,KS,Knife,Attack,Not Fleeing,0
2015,TX,Knife,Threat,Foot,0
2015,NE,Gun,Shoot,Not Fleeing,0
2015,VA,Gun,Point,Not Fleeing,1
2015,MD,Unarmed,Threat,Not Fleeing,0
2015,CA,Gun,Point,Not Fleeing,0
2015,NY,Gun,Point,Vehicle,0
2015,TX,Gun,Move,Foot,0
2015,OK,Gun,Shoot,Not Fleeing,1
2015,OR,Replica,Point,Not Fleeing,0
2015,NY,Gun,Shoot,Not Fleeing,0
2015,NC,Gun,Shoot,Not Fleeing,0
2015,OR,Missing,Attack,Foot,0
2015,OR,Gun,Attack,Vehicle,0
2015,MA,Replica,Point,Not Fleeing,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,FL,Unarmed,Attack,Foot,0
2015,WV,Other,Attack,Not Fleeing,0
2015,CA,Knife,Attack,Not Fleeing,0
2015,CA,Gun,Point,Not Fleeing,0
2015,NJ,Replica,Point,Not Fleeing,0
2015,FL,Gun,Point,Not Fleeing,0
2015,OK,Gun,Point,Foot,0
2015,TN,Gun,Point,Not Fleeing,0
2015,VA,Gun,Point,Foot,0
2015,NV,Gun,Attack,Not Fleeing,0
2015,CA,Unarmed,Attack,Foot,0
2015,TX,Gun,Shoot,Foot,0
2015,TX,Replica,Point,Not Fleeing,0
2015,CA,Unarmed,Flee,Not Fleeing,0
2015,OK,Gun,Point,Not Fleeing,0
2015,NH,Knife,Threat,Not Fleeing,1
2015,CA,Knife,Attack,Vehicle,0
2015,CA,Missing,Attack,Vehicle,0
2015,CA,Knife,Attack,Not Fleeing,0
2015,TX,Gun,Shoot,Not Fleeing,0
2015,AZ,Blunt Object,Threat,Not Fleeing,0
2015,TX,Gun,Point,Not Fleeing,0
2015,CA,Gun,Shoot,Not Fleeing,0
2015,TX,Gun,Shoot,Not Fleeing,0
2015,NJ,Knife,Attack,Foot,0
2015,MO,Gun,Shoot,Vehicle,0
2015,KY,Knife,Threat,Not Fleeing,0
2015,OR,Gun,Shoot,Not Fleeing,0
2015,NC,Missing,Attack,Vehicle,1
2015,UT,Gun,Point,Not Fleeing,0
2015,AZ,Gun,Point,Foot,0
2015,IL,Gun,Point,Foot,0
2015,CA,Gun,Point,Not Fleeing,0
2015,CA,Other,Attack,Vehicle,0
2015,MO,Knife,Threat,Not Fleeing,0
2015,NV,Gun,Shoot,Not Fleeing,1
2015,GA,Gun,Point,Not Fleeing,0
2015,IL,Gun,Point,Not Fleeing,0
2015,CA,Gun,Point,Not Fleeing,0
2015,CO,Knife,Threat,Foot,0
2015,FL,Unarmed,Attack,Not Fleeing,0
2015,TX,Gun,Point,Foot,0
2015,IL,Gun,Shoot,Not Fleeing,0
2015,WY,Gun,Point,Not Fleeing,0
2015,GA,Gun,Shoot,Not Fleeing,0
2015,CA,Gun,Shoot,Vehicle,0
2015,MA,Missing,Attack,Not Fleeing,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,FL,Gun,Point,Not Fleeing,0
2015,OH,Gun,Shoot,Not Fleeing,0
2015,MI,Blunt Object,Threat,Not Fleeing,0
2015,CA,Blunt Object,Threat,Not Fleeing,0
2015,WI,Knife,Threat,Not Fleeing,0
2015,FL,Gun,Point,Not Fleeing,0
2015,KS,Gun,Shoot,Vehicle,0
2015,TN,Gun,Shoot,Not Fleeing,0
2015,WY,Gun,Shoot,Not Fleeing,0
2015,AL,Gun,Shoot,Foot,0
2015,WA,Knife,Threat,Foot,0
2015,FL,Unarmed,Attack,Foot,0
2015,CA,Gun,Point,Not Fleeing,0
2015,TN,Unarmed,Attack,Foot,0
2015,TX,Knife,Move,Vehicle,0
2015,CO,Knife,Attack,Not Fleeing,0
2015,AZ,Gun,Shoot,Not Fleeing,0
2015,KS,Gun,Shoot,Not Fleeing,0
2015,OH,Unarmed,Flee,Vehicle,1
2015,TX,Gun,Shoot,Vehicle,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,GA,Unarmed,Threat,Not Fleeing,0
2015,FL,Gun,Move,Vehicle,0
2015,GA,Gun,Point,Not Fleeing,0
2015,WI,Gun,Shoot,Not Fleeing,0
2015,OK,Knife,Threat,Vehicle,0
2015,PA,Gun,Shoot,Not Fleeing,0
2015,OH,Gun,Point,Not Fleeing,0
2015,MN,Unarmed,Attack,Not Fleeing,0
2015,SC,Gun,Point,Not Fleeing,0
2015,WY,Replica,Point,Not Fleeing,0
2015,CA,Gun,Point,Not Fleeing,0
2015,CA,Replica,Shoot,Not Fleeing,0
2015,NC,Knife,Threat,Not Fleeing,0
2015,LA,Blunt Object,Attack,Vehicle,0
2015,GA,Gun,Shoot,Not Fleeing,0
2015,NV,Replica,Shoot,Not Fleeing,0
2015,FL,Gun,Shoot,Not Fleeing,0
2015,LA,Gun,Shoot,Not Fleeing,0
2015,SC,Missing,Threat,Vehicle,0
2015,SC,Knife,Attack,Not Fleeing,0
2015,LA,Replica,Point,Vehicle,0
2015,CO,Blunt Object,Threat,Not Fleeing,0
2015,AR,Knife,Threat,Not Fleeing,0
2015,NM,Gun,Unclear Threat,Foot,0
2015,UT,Gun,Shoot,Not Fleeing,0
2015,NV,Gun,Point,Not Fleeing,0
2015,CA,Gun,Point,Vehicle,0
2015,TX,Gun,Point,Not Fleeing,0
2015,CA,Blunt Object,Attack,Not Fleeing,0
2015,NM,Gun,Point,Not Fleeing,1
2015,NM,Gun,Shoot,Not Fleeing,0
2015,WV,Gun,Shoot,Not Fleeing,0
2015,AZ,Gun,Shoot,Not Fleeing,0
2015,TX,Missing,Threat,Not Fleeing,0
2015,CA,Gun,Shoot,Not Fleeing,0
2015,PA,Gun,Shoot,Foot,0
2015,VA,Gun,Point,Not Fleeing,0
2015,IN,Replica,Point,Not Fleeing,0
2015,CA,Unclear Weapon Information,Move,Not Fleeing,0
2015,IL,Blunt Object,Threat,Not Fleeing,1
2015,KY,Knife,Attack,Not Fleeing,0
2015,WI,Knife,Threat,Not Fleeing,0
2015,HI,Gun,Shoot,Not Fleeing,0
2015,VA,Gun,Shoot,Foot,0
2015,TN,Knife,Attack,Not Fleeing,0
2015,WA,Gun,Point,Not Fleeing,0
2015,KY,Knife,Attack,Not Fleeing,0
2015,TX,Gun,Shoot,Vehicle,0
2015,TX,Unarmed,Threat,Not Fleeing,0
2015,NV,Knife,Threat,Not Fleeing,1
2015,CA,Replica,Point,Not Fleeing,0
2015,MT,Missing,Threat,Vehicle,0
2015,NC,Gun,Shoot,Not Fleeing,0
